cycle_id,winding_speed_rpm,wire_tension_N,spindle_torque_Nm,wire_diameter_mm,num_turns,winding_temp_C,tension_mean_N,tension_std_N,tension_peak_N,power_mean_W,power_std_W,temp_max_C,temp_gradient,is_anomaly,anomaly_type
CYC_0217,526.4,17.22,1.76,0.3,88,51.8,16.996,1.139,18.206,95.47,4.375,53.2,0.2031,0,normal
CYC_0218,373.2,11.69,2.448,0.5,85,54.0,11.597,0.807,13.515,97.12,4.62,57.1,0.1619,0,normal
CYC_0219,348.9,11.35,2.86,0.5,54,51.5,11.288,0.767,12.472,102.2,5.313,53.9,0.1797,0,normal
CYC_0220,358.6,9.07,1.654,1.0,98,29.2,9.134,0.956,9.767,62.46,2.851,33.7,0.0606,0,normal
CYC_0221,488.7,10.52,2.765,1.0,83,42.8,10.026,0.783,10.865,138.04,5.429,49.6,0.2133,0,normal
CYC_0222,453.4,12.1,3.475,0.3,78,34.8,12.059,0.708,13.103,165.84,3.724,41.7,0.1173,0,normal
CYC_0223,391.4,8.73,3.33,0.3,53,50.9,8.362,0.991,9.78,135.71,4.671,57.5,0.1507,0,normal
CYC_0224,517.8,14.68,3.335,1.0,94,37.9,14.82,0.926,17.085,182.46,8.763,44.0,0.2039,0,normal
CYC_0225,591.5,9.29,2.653,0.3,93,25.9,9.203,0.601,10.186,166.12,7.72,28.6,0.2423,0,normal
CYC_0226,582.4,8.34,1.822,0.3,90,49.7,8.679,0.699,10.529,108.83,4.9,56.1,0.2013,0,normal
CYC_0227,304.6,9.2,3.272,0.5,97,51.0,8.61,0.727,10.594,104.25,5.281,56.7,0.244,0,normal
CYC_0228,435.8,11.86,3.052,1.0,90,50.2,11.789,0.684,12.442,139.6,6.526,75.8,0.576,1,overheating
CYC_0229,439.7,13.72,2.727,0.5,88,36.9,13.685,0.482,15.509,125.28,4.469,42.3,0.1358,0,normal
CYC_0230,397.6,9.19,1.631,0.71,66,42.5,9.618,1.012,11.909,69.29,3.668,49.3,0.205,0,normal
CYC_0231,348.4,12.18,2.036,0.3,76,51.8,12.433,1.11,13.138,75.36,2.399,56.3,0.2352,0,normal
CYC_0232,441.7,16.9,1.986,1.0,57,27.4,17.276,0.648,19.104,92.45,4.162,32.2,0.2102,0,normal
CYC_0233,837.9,15.36,3.235,0.71,96,49.6,15.247,0.938,16.742,196.1,8.206,53.0,0.242,1,speed_instability
CYC_0234,317.4,11.89,3.369,0.3,85,45.5,11.703,0.492,13.883,112.84,2.985,47.4,0.177,0,normal
CYC_0235,416.5,9.52,3.152,0.5,68,35.6,9.802,1.104,11.733,140.44,8.19,40.2,0.2021,0,normal
CYC_0236,490.5,11.84,3.095,0.3,91,49.2,12.654,0.663,14.038,161.67,4.632,54.5,0.2365,0,normal
CYC_0237,442.3,12.39,2.461,1.0,81,30.4,12.468,0.814,14.207,115.33,2.916,31.9,0.1529,0,normal
CYC_0238,371.3,15.55,1.833,0.5,90,33.3,15.747,0.801,16.591,72.76,1.455,34.4,0.0603,0,normal
CYC_0239,572.5,13.2,2.701,1.0,74,51.0,13.227,0.747,15.646,160.3,8.538,54.0,0.1227,0,normal
CYC_0240,416.0,17.27,1.603,1.0,86,40.4,17.309,0.831,19.394,67.87,1.838,44.9,0.145,0,normal
CYC_0241,532.9,14.11,2.742,0.3,97,28.1,14.115,0.493,14.923,154.33,9.011,35.3,0.1853,0,normal
CYC_0242,377.4,14.33,2.956,0.3,84,44.7,14.202,0.783,14.722,115.19,6.048,47.2,0.0912,0,normal
CYC_0243,624.4,13.77,1.569,0.3,61,50.3,13.247,0.951,15.384,79.45,3.51,56.0,0.2236,1,speed_instability
CYC_0244,306.2,11.19,3.47,0.3,56,37.8,11.542,0.469,12.246,109.46,2.863,41.3,0.088,0,normal
CYC_0245,335.4,14.94,3.426,0.71,98,32.0,14.693,0.818,16.529,121.04,4.347,38.7,0.0569,0,normal
CYC_0246,452.6,16.14,2.666,0.71,77,41.2,16.442,0.803,17.557,124.66,2.562,45.7,0.0794,0,normal
CYC_0247,487.0,14.96,2.844,0.3,98,46.1,14.706,1.12,16.734,150.4,7.114,51.8,0.11,0,normal
CYC_0248,505.3,15.06,2.661,0.5,90,54.0,15.357,0.628,17.071,142.57,4.395,58.9,0.1979,0,normal
CYC_0249,550.8,11.49,2.686,1.0,65,30.9,11.437,0.658,12.127,154.95,7.004,33.2,0.0699,0,normal
CYC_0250,356.0,12.37,2.094,0.5,66,52.3,12.041,0.783,13.215,75.65,3.07,58.3,0.1591,0,normal
CYC_0251,461.3,9.99,1.651,1.0,99,33.2,9.776,1.872,17.677,79.11,2.998,34.7,0.107,1,tension_spike
CYC_0252,531.0,10.89,1.941,0.5,80,43.6,10.424,0.963,11.444,108.74,5.667,51.4,0.0738,0,normal
CYC_0253,519.9,10.9,2.02,1.0,91,47.3,10.932,2.35,17.554,108.48,5.851,53.1,0.1687,1,tension_spike
CYC_0254,566.1,9.92,3.4,1.0,66,43.5,10.036,0.661,10.687,203.33,11.166,46.0,0.1647,0,normal
CYC_0255,364.7,13.81,1.873,0.71,69,38.9,13.366,0.785,13.934,72.39,3.012,42.5,0.0573,0,normal
CYC_0256,444.6,16.68,2.637,0.71,96,27.0,17.238,0.636,19.555,82.57,7.312,32.1,0.2182,1,speed_instability
CYC_0257,482.9,9.14,1.774,0.5,81,35.4,9.406,0.566,10.022,86.59,3.659,37.0,0.2124,0,normal
CYC_0258,411.6,13.06,2.192,0.71,71,28.9,13.495,0.931,14.799,93.29,3.948,32.5,0.2383,0,normal
CYC_0259,450.8,14.72,3.3,0.71,91,36.1,14.78,0.97,16.062,155.19,5.231,38.3,0.1184,0,normal
CYC_0260,599.6,12.11,2.417,0.5,56,47.8,12.041,1.017,13.708,150.74,5.556,67.7,0.2301,1,overheating
CYC_0261,462.8,10.8,1.834,0.71,99,45.9,10.923,0.959,13.052,87.47,2.319,48.8,0.065,0,normal
CYC_0262,333.0,16.42,3.1,0.5,52,31.6,16.138,0.613,16.959,106.63,6.045,36.2,0.1156,0,normal
CYC_0263,358.7,11.42,1.513,0.5,91,43.7,11.26,1.103,12.095,55.64,2.458,51.6,0.0581,0,normal
CYC_0264,456.8,13.84,2.086,0.5,81,30.0,14.195,0.495,15.195,99.94,2.179,35.0,0.188,0,normal
CYC_0265,390.3,14.72,3.159,0.5,53,46.8,14.458,0.726,15.996,128.1,6.296,50.8,0.2319,0,normal
CYC_0266,353.1,11.77,2.131,0.3,82,45.2,11.549,0.106,13.655,77.43,2.659,51.8,0.1629,0,normal
CYC_0267,342.8,12.91,1.728,0.71,67,41.5,13.011,1.644,17.502,63.35,3.476,46.0,0.1219,1,tension_spike
CYC_0268,428.3,8.78,3.293,1.0,60,28.1,8.441,0.573,9.971,148.56,7.334,31.0,0.1132,0,normal
CYC_0269,567.3,8.09,2.954,1.0,65,46.0,8.05,0.973,9.232,231.88,27.4,48.0,0.1277,1,power_surge
CYC_0270,395.4,17.7,3.289,0.71,82,51.2,17.643,0.345,19.364,134.88,4.537,55.0,0.2333,0,normal
CYC_0271,563.2,11.29,1.65,0.71,73,32.7,11.232,0.914,12.239,95.73,4.146,36.6,0.0747,0,normal
CYC_0272,348.5,9.77,3.246,1.0,63,26.1,9.504,0.769,10.411,119.73,3.288,31.6,0.2295,0,normal
CYC_0273,428.5,13.94,1.966,0.71,76,45.8,14.193,0.802,15.083,87.34,2.905,52.5,0.2345,0,normal
CYC_0274,592.8,17.9,1.848,0.5,91,37.0,18.268,0.556,20.544,117.27,4.376,38.9,0.1343,0,normal
CYC_0275,486.9,9.54,3.059,0.5,73,36.4,9.702,1.017,11.961,152.85,3.542,39.9,0.0605,0,normal
CYC_0276,556.9,17.4,3.174,0.3,70,43.0,17.846,0.669,20.202,187.3,8.151,45.7,0.1313,0,normal
CYC_0277,384.6,13.83,2.876,0.3,83,45.9,13.866,1.1,15.765,115.34,4.64,48.5,0.2326,0,normal
CYC_0278,579.2,16.72,3.243,0.71,59,42.4,16.746,0.855,17.8,195.62,4.679,46.8,0.2376,0,normal
CYC_0279,473.5,17.29,3.389,0.5,53,34.7,17.295,0.914,18.986,171.51,5.749,42.5,0.0973,0,normal
CYC_0280,428.1,12.69,1.545,0.5,72,35.1,12.813,0.764,13.672,71.05,1.828,37.5,0.202,0,normal
CYC_0281,462.2,11.37,3.268,0.3,79,25.8,11.838,0.693,13.672,156.01,4.97,32.9,0.1376,0,normal
CYC_0282,410.3,12.85,3.442,0.3,87,29.5,12.182,0.68,14.128,145.88,3.16,36.1,0.0583,0,normal
CYC_0283,532.3,15.18,2.449,0.71,78,35.8,15.301,0.83,16.857,271.32,15.226,41.4,0.1817,1,power_surge
CYC_0284,554.8,15.48,1.568,0.71,73,53.0,15.298,0.484,16.543,87.84,3.669,57.4,0.1571,0,normal
CYC_0285,453.2,16.65,2.016,1.0,93,39.9,16.742,0.778,17.573,93.24,4.468,47.2,0.1695,0,normal
CYC_0286,440.3,8.92,2.659,1.0,70,35.7,9.187,0.889,15.868,170.32,2.526,43.1,0.1619,1,combined_stress
CYC_0287,477.2,9.87,1.963,0.5,50,38.5,9.762,0.961,11.784,96.31,2.731,46.1,0.2175,0,normal
CYC_0288,384.8,9.92,3.169,0.5,53,28.1,10.037,0.844,11.982,214.47,27.417,34.2,0.0965,1,power_surge
CYC_0289,553.5,10.29,3.06,1.0,92,25.7,10.468,0.451,12.166,175.98,4.818,29.1,0.2038,0,normal
CYC_0290,311.2,12.25,2.799,0.3,85,36.2,12.148,0.609,12.825,92.2,3.881,42.6,0.089,0,normal
CYC_0291,492.7,15.94,3.005,1.0,72,31.4,16.241,0.769,17.165,153.02,8.116,35.1,0.1747,0,normal
CYC_0292,338.1,9.15,1.961,0.71,95,43.1,9.22,1.016,10.585,65.08,2.803,44.2,0.0624,0,normal
CYC_0293,557.5,17.32,3.447,1.0,83,33.2,17.273,1.133,19.615,197.28,4.293,36.5,0.1051,0,normal
CYC_0294,447.5,12.63,3.149,0.5,69,46.3,12.192,0.6,13.942,147.13,6.732,53.8,0.0532,0,normal
CYC_0295,578.9,17.33,2.748,0.3,99,41.4,17.409,0.752,18.695,167.2,7.784,44.4,0.0823,0,normal
CYC_0296,341.3,10.58,2.694,0.5,96,42.8,10.766,0.808,12.214,98.34,3.714,45.5,0.155,0,normal
CYC_0297,396.9,16.1,3.016,0.3,71,41.0,15.837,0.988,18.139,124.01,2.88,43.8,0.1398,0,normal
CYC_0298,566.2,11.21,2.016,0.3,63,38.5,10.702,0.85,12.547,119.51,2.794,57.7,0.4127,1,overheating
CYC_0299,508.5,11.17,2.058,0.71,52,42.4,10.93,0.858,16.145,121.22,5.279,56.3,0.1774,1,combined_stress
CYC_0300,794.8,11.91,2.972,0.71,98,50.8,11.789,1.447,13.623,179.3,16.192,53.6,0.1812,1,speed_instability
CYC_0301,428.5,11.94,2.639,1.0,65,44.9,11.704,0.719,12.417,120.84,5.322,63.2,0.2409,1,overheating
CYC_0302,447.8,13.32,1.741,0.71,67,45.0,12.801,0.992,14.398,82.65,2.859,48.3,0.1018,0,normal
CYC_0303,323.5,13.96,1.949,0.3,77,46.5,14.105,0.785,15.103,65.44,3.478,50.4,0.1131,0,normal
CYC_0304,327.1,11.51,2.077,1.0,91,47.0,11.772,1.238,12.502,74.22,4.011,52.7,0.1769,0,normal
CYC_0305,455.6,16.5,1.537,0.5,65,31.0,16.223,0.668,16.762,78.15,1.566,33.3,0.2338,0,normal
CYC_0306,569.1,9.72,1.774,0.3,69,32.5,10.542,0.546,11.975,107.34,5.382,37.5,0.2451,0,normal
CYC_0307,471.0,14.46,2.46,0.71,99,31.5,13.913,0.685,15.846,117.0,2.63,37.5,0.211,0,normal
CYC_0308,473.1,13.12,1.96,0.3,82,39.7,13.47,0.639,15.515,98.03,4.824,45.4,0.1555,0,normal
CYC_0309,561.4,8.26,2.372,0.71,72,44.3,8.309,0.652,9.196,140.85,7.833,49.4,0.1983,0,normal
CYC_0310,542.2,13.94,3.237,1.0,92,32.4,14.017,0.934,16.014,185.46,4.376,37.8,0.0891,0,normal
CYC_0311,487.8,14.24,3.235,1.0,63,44.0,14.141,0.986,15.099,164.54,8.691,45.2,0.1663,0,normal
CYC_0312,379.6,14.18,3.389,0.71,80,54.6,13.916,0.495,15.73,134.13,5.355,61.7,0.1144,0,normal
CYC_0313,582.0,16.1,3.032,0.71,85,52.4,16.037,0.735,17.26,345.64,11.709,59.2,0.0827,1,power_surge
CYC_0314,428.7,13.65,3.438,0.71,65,27.4,13.438,0.945,15.105,153.11,4.197,29.1,0.1164,0,normal
CYC_0315,558.2,10.73,2.583,0.71,79,48.7,10.959,0.641,11.918,150.6,4.779,55.7,0.2404,0,normal
CYC_0316,310.8,13.57,2.435,0.3,88,36.0,13.425,0.821,14.454,80.24,2.012,41.7,0.1467,0,normal
CYC_0317,315.1,17.67,2.825,0.3,51,39.1,17.855,0.431,19.464,91.78,4.414,62.8,0.1825,1,overheating
CYC_0318,526.7,16.23,2.184,0.3,51,49.1,15.83,0.843,17.039,118.48,5.362,54.2,0.0512,0,normal
CYC_0319,330.2,9.11,2.734,0.71,71,42.6,9.261,0.671,11.143,94.71,3.877,45.3,0.1437,0,normal
CYC_0320,521.4,16.42,2.602,0.3,92,32.7,16.248,0.854,16.793,141.04,5.108,36.8,0.2016,0,normal
CYC_0321,401.3,13.55,2.551,1.0,96,54.9,13.438,0.81,14.968,106.48,5.025,61.1,0.143,0,normal
CYC_0322,431.9,14.81,2.37,0.71,66,41.4,15.081,2.431,20.609,106.25,5.952,48.5,0.1929,1,tension_spike
CYC_0323,377.6,16.13,1.797,1.0,85,47.8,15.964,1.005,18.11,71.55,3.703,54.3,0.1327,0,normal
CYC_0324,788.0,10.11,1.791,0.5,91,42.6,9.684,1.234,10.432,73.08,7.014,48.0,0.1844,1,speed_instability
CYC_0325,462.8,11.75,2.619,1.0,63,27.2,11.816,0.775,13.727,125.95,7.002,31.1,0.2335,0,normal
CYC_0326,328.2,14.69,3.258,0.3,75,25.2,14.342,0.686,15.28,112.09,4.042,26.5,0.1728,0,normal
CYC_0327,397.6,17.01,1.857,1.0,67,40.5,16.403,0.962,17.222,79.04,4.011,45.7,0.1225,0,normal
CYC_0328,574.5,10.11,2.138,0.3,53,45.2,10.918,0.69,12.76,125.1,4.082,52.8,0.1259,0,normal
CYC_0329,545.2,8.76,2.877,0.3,86,48.2,8.693,0.608,10.264,163.3,5.263,53.7,0.0579,0,normal
CYC_0330,563.2,11.46,3.364,1.0,55,39.9,10.967,0.837,11.505,199.1,7.031,40.9,0.227,0,normal
CYC_0331,518.5,14.2,2.976,0.71,97,42.8,15.009,0.475,16.51,159.34,7.726,44.8,0.1304,0,normal
CYC_0332,549.7,17.51,1.749,0.5,92,29.9,17.072,0.629,18.439,101.28,3.112,35.7,0.1589,0,normal
CYC_0333,542.5,15.01,2.338,0.5,85,36.1,14.952,0.803,15.577,130.54,6.464,38.3,0.1121,0,normal
CYC_0334,477.7,11.51,2.975,0.71,74,54.5,10.96,0.652,13.215,147.61,4.372,62.2,0.1078,0,normal
CYC_0335,503.3,13.14,2.827,0.5,83,54.1,12.836,0.89,13.748,150.4,5.294,55.5,0.1997,0,normal
CYC_0336,449.2,10.29,2.803,1.0,50,51.0,10.601,0.865,11.546,131.95,2.725,56.2,0.1203,0,normal
CYC_0337,525.3,14.97,2.999,1.0,97,27.6,14.667,0.627,16.353,166.33,6.928,35.2,0.1902,0,normal
CYC_0338,352.0,15.48,2.856,0.3,64,42.0,15.668,1.05,17.342,108.28,2.402,43.9,0.1254,0,normal
CYC_0339,470.5,10.09,2.095,0.71,61,40.2,10.196,0.551,11.435,102.73,4.675,43.0,0.0893,0,normal
CYC_0340,448.1,11.53,1.91,1.0,93,31.0,11.297,0.824,12.416,89.25,4.818,37.5,0.0551,0,normal
CYC_0341,532.5,13.58,3.0,0.71,80,39.4,13.645,1.196,15.188,167.25,6.096,43.3,0.0858,0,normal
CYC_0342,582.1,8.2,2.579,0.71,66,54.1,7.692,0.882,9.228,158.06,8.923,61.1,0.1701,0,normal
CYC_0343,481.0,16.0,2.182,0.5,65,30.5,15.786,0.806,20.332,175.47,4.869,41.0,0.16,1,combined_stress
CYC_0344,544.3,15.2,3.022,1.0,88,43.2,14.97,0.99,16.881,172.46,6.117,47.0,0.1631,0,normal
CYC_0345,581.0,12.92,2.493,0.5,53,35.8,13.365,0.833,14.003,153.65,9.141,41.5,0.2296,0,normal
CYC_0346,448.6,17.87,2.827,1.0,99,48.3,17.738,0.644,20.141,132.49,3.478,49.8,0.1594,0,normal
CYC_0347,882.8,8.1,2.795,0.71,62,53.7,7.928,1.296,8.483,128.07,14.758,55.5,0.1375,1,speed_instability
CYC_0348,481.8,12.58,3.278,1.0,66,45.5,12.788,0.878,19.462,326.13,5.776,57.6,0.1059,1,combined_stress
CYC_0349,330.4,10.06,2.885,0.5,65,50.3,10.058,0.641,11.641,99.28,4.436,53.2,0.1695,0,normal
CYC_0350,412.7,9.71,2.335,0.3,55,41.3,9.695,0.896,11.584,101.24,4.38,48.5,0.1536,0,normal
CYC_0351,350.8,12.32,3.496,0.71,75,25.9,12.237,0.61,13.894,124.71,3.095,28.7,0.1557,0,normal
CYC_0352,401.4,13.71,2.719,0.5,70,52.9,13.589,0.832,15.265,94.31,6.112,60.3,0.1549,1,speed_instability
CYC_0353,346.8,11.2,2.348,0.71,80,39.7,11.006,0.744,13.421,85.95,3.075,41.2,0.2066,0,normal
CYC_0354,580.8,10.84,3.034,0.3,54,45.7,10.996,0.822,11.809,185.43,10.898,47.9,0.1539,0,normal
CYC_0355,316.5,12.45,2.557,0.71,63,26.5,12.33,2.603,20.239,90.15,2.143,31.8,0.2351,1,tension_spike
CYC_0356,309.4,14.98,1.916,0.5,92,25.9,14.829,0.956,16.036,61.01,3.487,32.5,0.0982,0,normal
CYC_0357,591.9,12.63,3.224,0.5,68,25.1,13.082,0.843,13.598,201.55,6.065,32.2,0.2216,0,normal
CYC_0358,460.7,16.96,1.864,0.71,51,42.9,16.741,1.013,21.468,154.61,2.484,57.3,0.1761,1,combined_stress
CYC_0359,367.3,8.82,1.579,1.0,80,26.7,8.763,0.83,10.13,56.96,2.473,33.6,0.2054,0,normal
CYC_0360,305.0,15.84,3.374,0.3,69,30.4,16.071,0.874,17.355,104.82,4.642,33.0,0.1465,0,normal
CYC_0361,307.6,17.74,1.526,0.5,71,44.1,17.623,0.756,19.194,48.46,1.631,50.0,0.0611,0,normal
CYC_0362,546.8,13.08,2.715,0.5,55,31.8,13.048,0.338,14.946,155.05,6.793,35.6,0.151,0,normal
CYC_0363,371.2,17.21,3.35,0.71,98,53.1,17.668,0.918,19.286,133.66,3.133,60.8,0.0864,0,normal
CYC_0364,381.4,14.49,2.407,1.0,67,48.9,14.416,0.743,16.49,97.73,5.002,56.0,0.1755,0,normal
CYC_0365,456.0,15.53,3.494,0.3,89,26.0,15.762,0.989,16.663,166.88,9.119,33.1,0.2411,0,normal
CYC_0366,319.5,14.18,1.782,0.71,99,31.4,14.539,0.867,15.467,58.85,3.118,35.1,0.082,0,normal
CYC_0367,510.7,9.61,1.721,0.5,94,37.2,9.242,0.964,10.118,91.92,2.262,41.8,0.2366,0,normal
CYC_0368,483.5,15.95,2.317,0.5,67,34.2,16.025,1.077,18.092,117.86,5.095,37.6,0.1136,0,normal
CYC_0369,492.6,9.69,1.87,1.0,53,30.0,9.456,0.894,11.563,97.61,4.803,33.2,0.1797,0,normal
CYC_0370,421.5,17.75,2.793,0.5,78,49.6,17.77,0.405,20.105,122.67,3.765,70.1,0.3412,1,overheating
CYC_0371,454.3,16.88,2.194,0.5,89,33.2,16.707,0.813,17.605,103.44,3.771,34.9,0.1068,0,normal
CYC_0372,535.1,10.44,2.537,1.0,58,33.0,10.22,0.64,11.061,256.13,26.025,35.5,0.0913,1,power_surge
CYC_0373,538.4,15.13,1.574,0.71,79,38.6,15.501,0.91,16.012,88.32,4.628,44.5,0.1938,0,normal
CYC_0374,484.5,11.56,3.247,1.0,62,36.8,11.01,0.938,11.915,167.07,6.722,43.8,0.067,0,normal
CYC_0375,386.0,15.69,3.482,0.5,84,36.7,15.365,0.994,17.422,141.28,6.976,39.4,0.0712,0,normal
CYC_0376,490.1,9.36,1.991,1.0,85,43.7,9.806,0.968,11.569,100.88,2.07,48.6,0.1998,0,normal
CYC_0377,303.2,17.67,1.602,0.71,80,34.5,17.659,1.579,26.32,58.97,2.321,36.9,0.2248,1,tension_spike
CYC_0378,409.1,12.51,1.736,0.5,50,27.2,11.94,0.868,14.222,74.39,2.136,29.6,0.1184,0,normal
CYC_0379,548.6,15.46,2.549,0.3,58,34.3,15.47,0.712,16.879,148.88,3.074,35.7,0.0884,0,normal
CYC_0380,397.0,17.45,2.045,0.3,91,44.5,17.254,0.67,17.921,82.77,2.635,49.5,0.1988,0,normal
CYC_0381,302.1,8.56,2.767,0.5,88,44.8,8.623,1.134,9.358,87.44,3.587,49.8,0.1976,0,normal
CYC_0382,386.3,10.14,3.386,1.0,64,31.2,10.156,1.212,17.442,226.93,5.67,49.4,0.1307,1,combined_stress
CYC_0383,480.3,17.05,2.402,1.0,64,33.2,16.841,0.816,18.686,120.47,6.291,37.8,0.0641,0,normal
CYC_0384,466.3,9.4,1.674,0.5,69,33.5,8.94,0.849,10.161,81.15,3.299,41.0,0.1064,0,normal
CYC_0385,301.9,16.44,2.435,1.0,82,26.5,16.692,0.691,23.24,93.74,4.488,37.4,0.2001,1,combined_stress
CYC_0386,384.3,17.62,2.302,1.0,89,25.3,18.16,0.882,19.156,90.25,1.95,27.3,0.2376,0,normal
CYC_0387,315.5,13.33,1.616,0.71,85,40.6,13.381,0.715,14.996,52.45,2.954,45.2,0.0736,0,normal
CYC_0388,354.5,14.32,3.24,0.3,54,45.8,14.21,0.802,16.207,122.67,4.458,47.8,0.2411,0,normal
CYC_0389,501.6,9.34,2.538,0.5,76,52.0,9.42,0.808,11.313,133.97,6.858,58.6,0.219,0,normal
CYC_0390,336.6,8.85,1.526,0.5,74,51.1,9.099,0.745,9.761,49.96,2.983,58.5,0.0812,0,normal
CYC_0391,384.6,14.41,2.583,0.3,71,41.4,14.475,0.543,15.885,102.99,2.271,44.0,0.0542,0,normal
CYC_0392,588.2,8.73,2.752,0.71,78,42.9,8.766,0.846,10.173,242.14,17.805,48.1,0.0552,1,power_surge
CYC_0393,402.9,10.38,2.108,0.71,53,38.2,10.343,1.668,18.631,92.52,2.972,42.2,0.1054,1,tension_spike
CYC_0394,397.6,8.61,1.861,0.5,95,26.2,8.887,1.038,10.029,77.37,1.724,29.8,0.1361,0,normal
CYC_0395,538.7,16.66,3.4,0.5,59,38.1,17.037,0.846,18.186,190.78,4.971,44.1,0.147,0,normal
CYC_0396,400.7,14.88,1.767,0.71,84,27.3,14.907,0.784,15.963,72.22,3.489,45.3,0.4144,1,overheating
CYC_0397,443.1,17.67,2.508,1.0,97,51.1,17.34,1.979,23.49,115.6,4.91,57.5,0.1994,1,tension_spike
CYC_0398,511.1,16.17,2.49,0.3,67,45.4,16.283,1.187,18.457,127.96,3.994,47.3,0.1618,0,normal
CYC_0399,384.2,13.33,2.18,0.3,96,34.2,13.441,1.082,15.108,85.65,2.364,38.8,0.0743,0,normal
CYC_0400,499.1,11.64,3.198,1.0,53,49.2,11.966,0.868,14.402,168.34,9.09,51.6,0.1287,0,normal
CYC_0401,495.6,14.28,3.388,0.5,68,33.1,14.528,0.85,16.636,174.16,6.817,40.4,0.0676,0,normal
CYC_0402,456.7,14.11,1.853,0.3,93,45.0,14.377,0.999,14.94,90.91,3.074,49.9,0.1654,0,normal
CYC_0403,391.0,8.64,3.09,1.0,66,30.6,8.683,0.915,10.221,168.26,15.35,33.0,0.1538,1,power_surge
CYC_0404,415.5,13.37,2.558,0.3,60,43.5,13.147,0.992,14.842,110.84,4.045,49.5,0.1747,0,normal
CYC_0405,454.6,10.67,3.361,0.3,99,43.5,10.626,0.615,15.373,303.4,6.666,61.9,0.245,1,combined_stress
CYC_0406,463.1,8.68,2.027,0.3,63,49.4,8.469,0.682,10.21,100.71,4.457,64.9,0.1642,1,overheating
CYC_0407,491.2,9.34,3.356,0.3,73,35.2,9.419,0.908,10.565,169.04,4.351,39.8,0.2188,0,normal
CYC_0408,450.9,9.17,2.917,0.3,86,53.5,9.293,1.163,10.987,140.3,7.443,61.5,0.2033,0,normal
CYC_0409,388.1,10.85,2.074,0.3,91,48.5,10.722,1.027,12.614,81.7,2.99,52.7,0.1505,0,normal
CYC_0410,325.2,10.79,2.584,1.0,78,30.0,10.728,0.943,13.031,89.4,4.002,34.0,0.0637,0,normal
CYC_0411,489.7,10.13,2.706,0.5,58,31.3,9.923,0.845,12.164,139.01,4.195,35.5,0.1401,0,normal
CYC_0412,572.8,11.71,3.422,0.5,70,50.3,11.851,0.702,13.962,205.83,12.163,53.8,0.1255,0,normal
CYC_0413,523.9,10.77,2.636,0.5,68,28.7,10.606,0.682,11.546,140.92,3.413,32.0,0.0831,0,normal
CYC_0414,399.8,11.42,2.887,0.3,85,54.5,11.17,0.671,12.619,121.89,5.049,66.5,0.5111,1,overheating
CYC_0415,327.9,9.39,3.099,1.0,88,32.1,9.12,0.846,10.59,106.31,3.467,38.4,0.2178,0,normal
CYC_0416,381.2,14.82,1.808,0.3,56,47.9,14.556,0.818,16.706,71.48,3.588,53.6,0.1642,0,normal
CYC_0417,329.2,13.71,2.755,1.0,52,44.8,13.5,0.467,14.542,94.3,3.166,49.1,0.0872,0,normal
CYC_0418,374.8,9.63,3.285,0.3,62,51.1,9.664,0.792,12.07,129.88,3.941,54.0,0.068,0,normal
CYC_0419,568.4,17.06,3.296,0.71,81,28.8,17.136,0.534,18.378,195.42,6.49,31.0,0.2396,0,normal
CYC_0420,542.1,17.47,2.916,1.0,70,46.5,17.655,1.003,20.077,165.68,7.117,51.4,0.0767,0,normal
CYC_0421,585.2,17.03,1.805,0.3,69,25.7,17.048,0.674,18.714,110.32,4.38,33.4,0.1096,0,normal
CYC_0422,587.7,11.16,3.036,0.3,86,32.3,11.415,1.058,12.39,186.45,8.82,49.7,0.1416,1,overheating
CYC_0423,695.7,17.76,2.05,1.0,93,53.9,18.239,0.835,19.14,119.04,5.279,61.5,0.1182,1,speed_instability
CYC_0424,355.5,8.84,2.691,0.3,62,43.5,8.486,0.951,10.472,101.72,3.937,46.1,0.1205,0,normal
CYC_0425,340.3,11.72,2.168,1.0,75,39.3,11.447,1.728,17.66,76.45,3.07,44.0,0.1074,1,tension_spike
CYC_0426,558.9,14.29,1.962,1.0,88,43.5,14.458,0.994,15.169,114.14,5.037,47.0,0.0975,0,normal
CYC_0427,302.8,12.61,2.818,0.71,86,39.2,11.959,0.703,13.238,86.22,3.252,43.1,0.2131,0,normal
CYC_0428,589.7,8.84,2.497,0.5,98,44.6,9.071,0.675,10.066,156.92,4.119,46.2,0.0835,0,normal
CYC_0429,455.5,10.37,2.336,1.0,79,44.7,10.606,0.595,11.536,110.13,6.598,51.6,0.1375,0,normal
CYC_0430,568.0,10.48,2.484,0.71,98,44.7,10.488,2.147,17.017,145.98,4.768,46.5,0.0682,1,tension_spike
CYC_0431,588.4,15.62,3.164,0.71,99,45.0,15.356,0.534,16.603,194.21,5.32,52.9,0.0952,0,normal
CYC_0432,514.0,14.2,3.211,1.0,89,29.0,14.569,0.77,16.697,171.42,4.928,31.5,0.072,0,normal
CYC_0433,329.4,11.77,2.685,0.3,60,40.8,12.083,0.672,13.71,89.07,3.348,46.8,0.0699,0,normal
CYC_0434,803.1,9.26,1.771,0.3,55,42.4,9.115,0.867,9.835,95.4,4.678,50.3,0.2263,1,speed_instability
CYC_0435,581.8,12.24,1.92,0.3,65,28.5,12.3,1.114,12.937,113.2,4.2,36.4,0.1284,0,normal
